entidad,relacion,objetos,pregunta,respuestas,obtenido_de
Departamento de Ahuachapán,reemplaza a,['Partido de Ahuachapán'],Contesta la siguiente pregunta: ¿A quién o a qué reemplaza Departamento de Ahuachapán?,['Partido de Ahuachapán'],['el_salvador']
Director General de Correos,reemplaza a,['Administrador General de Correos'],Contesta la siguiente pregunta: ¿A quién o a qué reemplaza Director General de Correos?,['Administrador General de Correos'],['el_salvador']
León,reemplaza a,['Ruínas de León Viejo'],Contesta la siguiente pregunta: ¿A quién o a qué reemplaza León?,['Ruínas de León Viejo'],['nicaragua']
Orden de Klement Gottwald por la Construcción de la Patria Socialista,reemplaza a,['Orden de la Construcción de la Patria Socialista'],Contesta la siguiente pregunta: ¿A quién o a qué reemplaza Orden de Klement Gottwald por la Construcción de la Patria Socialista?,['Orden de la Construcción de la Patria Socialista'],['chile']
Universidad de Salamanca,reemplaza a,['Estudio General de Salamanca'],Contesta la siguiente pregunta: ¿A quién o a qué reemplaza Universidad de Salamanca?,['Estudio General de Salamanca'],['guatemala']
Óscar a los mejores efectos visuales,reemplaza a,['Óscar a los mejores efectos especiales'],Contesta la siguiente pregunta: ¿A quién o a qué reemplaza Óscar a los mejores efectos visuales?,['Óscar a los mejores efectos especiales'],['usa']
Antes que anochezca,representa a,['Reinaldo Arenas Fuentes'],Contesta la siguiente pregunta: ¿A quién o qué representa Antes que anochezca?,['Reinaldo Arenas Fuentes'],['cuba']
Bandera Nacional de la República Dominicana,representa a,"['cruz', 'Escudo de la República Dominicana', 'campo']",Contesta la siguiente pregunta: ¿A quién o qué representa Bandera Nacional de la República Dominicana?,"['cruz', 'Escudo de la República Dominicana', 'campo']","['republica_dominicana', 'republica_dominicana', 'republica_dominicana']"
Bandera de Panamá,representa a,"['campo', 'estrella de cinco puntas']",Contesta la siguiente pregunta: ¿A quién o qué representa Bandera de Panamá?,"['campo', 'estrella de cinco puntas']","['panama', 'panama']"
De mangos y albaricoques,representa a,['protagonista LGBT'],Contesta la siguiente pregunta: ¿A quién o qué representa De mangos y albaricoques?,['protagonista LGBT'],['panama']
"Del amor, del dolor y del vicio",representa a,['personaje LGBT'],"Contesta la siguiente pregunta: ¿A quién o qué representa Del amor, del dolor y del vicio?",['personaje LGBT'],['guatemala']
