prompt,respuesta
"Responde la pregunta basándote en el siguiente contexto. Mantén la respuesta breve.

--- Contexto ---
Ricardo_Osorio se desempeña como Productor_Musical
Fredy_Nasser se desempeña como Enfermero

--- Pregunta ---
Pregunta: ¿En qué se desempeña Ricardo_Osorio?

",Productor_Musical
"Responde la pregunta basándote en el siguiente contexto. Mantén la respuesta breve.

--- Contexto ---
Phoenix_Mosley se desempeña como Espia
Héctor_Castellanos se desempeña como Arquitecto

--- Pregunta ---
Pregunta: ¿En qué se desempeña Phoenix_Mosley?

",Espia
"Responde la pregunta basándote en el siguiente contexto. Mantén la respuesta breve.

--- Contexto ---
Celestino_Armas se desempeña como Sacerdote_Catolico
Danilson_Córdoba se desempeña como Golfista

--- Pregunta ---
Pregunta: ¿En qué se desempeña Danilson_Córdoba?

",Golfista
"Responde la pregunta basándote en el siguiente contexto. Mantén la respuesta breve.

--- Contexto ---
Nahamán_González se desempeña como Actor_Pornografico
Henrique_Santos se desempeña como Montanero

--- Pregunta ---
Pregunta: ¿En qué se desempeña Nahamán_González?

",Actor_Pornografico
"Responde la pregunta basándote en el siguiente contexto. Mantén la respuesta breve.

--- Contexto ---
Uwaldo_Pérez se desempeña como Portavoz
Paulina_Schippers se desempeña como Economista

--- Pregunta ---
Pregunta: ¿En qué se desempeña Paulina_Schippers?

",Economista
"Responde la pregunta basándote en el siguiente contexto. Mantén la respuesta breve.

--- Contexto ---
Géiner_Segura se desempeña como Lider_Militar
Maridalia_Hernández se desempeña como Arqueologo

--- Pregunta ---
Pregunta: ¿En qué se desempeña Maridalia_Hernández?

",Arqueologo
"Responde la pregunta basándote en el siguiente contexto. Mantén la respuesta breve.

--- Contexto ---
Violeta_Stephen se desempeña como Biologo
Vicente_Gerbasi se desempeña como Ceramista

--- Pregunta ---
Pregunta: ¿En qué se desempeña Vicente_Gerbasi?

",Ceramista
"Responde la pregunta basándote en el siguiente contexto. Mantén la respuesta breve.

--- Contexto ---
Ramón_Peralta se desempeña como Arquero
Bayron_Méndez se desempeña como Agente_Deportivo

--- Pregunta ---
Pregunta: ¿En qué se desempeña Bayron_Méndez?

",Agente_Deportivo
"Responde la pregunta basándote en el siguiente contexto. Mantén la respuesta breve.

--- Contexto ---
Ever_Alfaro se desempeña como Matematico
Ariana_Mora se desempeña como Futbolista

--- Pregunta ---
Pregunta: ¿En qué se desempeña Ever_Alfaro?

",Matematico
"Responde la pregunta basándote en el siguiente contexto. Mantén la respuesta breve.

--- Contexto ---
Wilson_Ramos se desempeña como Periodista
Gerardo_Budowski se desempeña como Agente_Deportivo

--- Pregunta ---
Pregunta: ¿En qué se desempeña Gerardo_Budowski?

",Agente_Deportivo
"Responde la pregunta basándote en el siguiente contexto. Mantén la respuesta breve.

--- Contexto ---
Teodoro_Palacios se desempeña como Boxeador
Marcelino_Vargas se desempeña como Jinete_Hipico

--- Pregunta ---
Pregunta: ¿En qué se desempeña Teodoro_Palacios?

",Boxeador
"Responde la pregunta basándote en el siguiente contexto. Mantén la respuesta breve.

--- Contexto ---
Justin_Diaz se desempeña como Cantautor
Walter_Fuentes se desempeña como Curador

--- Pregunta ---
Pregunta: ¿En qué se desempeña Walter_Fuentes?

",Curador
"Responde la pregunta basándote en el siguiente contexto. Mantén la respuesta breve.

--- Contexto ---
Andrés_Trigo se desempeña como Rabino
Edgar_Silva se desempeña como Karateca

--- Pregunta ---
Pregunta: ¿En qué se desempeña Andrés_Trigo?

",Rabino
"Responde la pregunta basándote en el siguiente contexto. Mantén la respuesta breve.

--- Contexto ---
Alejandra_Castro se desempeña como Torero
Pablo_Centurión se desempeña como Saxofonista

--- Pregunta ---
Pregunta: ¿En qué se desempeña Pablo_Centurión?

",Saxofonista
"Responde la pregunta basándote en el siguiente contexto. Mantén la respuesta breve.

--- Contexto ---
Sergio_Vélez se desempeña como Yudoca
Faustino_Alonso se desempeña como Economista

--- Pregunta ---
Pregunta: ¿En qué se desempeña Sergio_Vélez?

",Yudoca
"Responde la pregunta basándote en el siguiente contexto. Mantén la respuesta breve.

--- Contexto ---
Jairo_Jaime se desempeña como Catedratico
Oswaldo_Segura se desempeña como Astrologo

--- Pregunta ---
Pregunta: ¿En qué se desempeña Oswaldo_Segura?

",Astrologo
"Responde la pregunta basándote en el siguiente contexto. Mantén la respuesta breve.

--- Contexto ---
Ana_Galarza se desempeña como Regatista
José_Zepeda se desempeña como Karateca

--- Pregunta ---
Pregunta: ¿En qué se desempeña Ana_Galarza?

",Regatista
"Responde la pregunta basándote en el siguiente contexto. Mantén la respuesta breve.

--- Contexto ---
José_Tapia se desempeña como Informatico_Teorico
Guillermo_Billinghurst se desempeña como Beisbolista

--- Pregunta ---
Pregunta: ¿En qué se desempeña Guillermo_Billinghurst?

",Beisbolista
"Responde la pregunta basándote en el siguiente contexto. Mantén la respuesta breve.

--- Contexto ---
Tomas_Peribonio se desempeña como Musicologo
Alfonso_Lara se desempeña como Matrona

--- Pregunta ---
Pregunta: ¿En qué se desempeña Tomas_Peribonio?

",Musicologo
"Responde la pregunta basándote en el siguiente contexto. Mantén la respuesta breve.

--- Contexto ---
Claudia_Rivero se desempeña como Matematico
Guarionex_Aquino se desempeña como Condottiero

--- Pregunta ---
Pregunta: ¿En qué se desempeña Guarionex_Aquino?

",Condottiero
"Responde la pregunta basándote en el siguiente contexto. Mantén la respuesta breve.

--- Contexto ---
Cesar_Espinoza se desempeña como Alertador
Irma_Flaquer se desempeña como Astronauta

--- Pregunta ---
Pregunta: ¿En qué se desempeña Cesar_Espinoza?

",Alertador
"Responde la pregunta basándote en el siguiente contexto. Mantén la respuesta breve.

--- Contexto ---
Jacqueline_Solís se desempeña como Estudiante
Richard_Hidalgo se desempeña como Escritor

--- Pregunta ---
Pregunta: ¿En qué se desempeña Jacqueline_Solís?

",Estudiante
"Responde la pregunta basándote en el siguiente contexto. Mantén la respuesta breve.

--- Contexto ---
Yajaira_Vera se desempeña como Dibujante
Manny_Acosta se desempeña como Halterofilo

--- Pregunta ---
Pregunta: ¿En qué se desempeña Yajaira_Vera?

",Dibujante
"Responde la pregunta basándote en el siguiente contexto. Mantén la respuesta breve.

--- Contexto ---
César_Velázquez se desempeña como Medico
Andrés_Sandoval se desempeña como Pianista

--- Pregunta ---
Pregunta: ¿En qué se desempeña Andrés_Sandoval?

",Pianista
"Responde la pregunta basándote en el siguiente contexto. Mantén la respuesta breve.

--- Contexto ---
Laureano_Villanueva se desempeña como Socialite
Raúl_Ruidíaz se desempeña como Remero

--- Pregunta ---
Pregunta: ¿En qué se desempeña Raúl_Ruidíaz?

",Remero
"Responde la pregunta basándote en el siguiente contexto. Mantén la respuesta breve.

--- Contexto ---
Jason_Acuña se desempeña como Artista_Visual
Alba_Roversi se desempeña como Agente_Deportivo

--- Pregunta ---
Pregunta: ¿En qué se desempeña Alba_Roversi?

",Agente_Deportivo
"Responde la pregunta basándote en el siguiente contexto. Mantén la respuesta breve.

--- Contexto ---
Ramón_García se desempeña como Monje
Marcelo_Gallardo se desempeña como Demografo

--- Pregunta ---
Pregunta: ¿En qué se desempeña Ramón_García?

",Monje
"Responde la pregunta basándote en el siguiente contexto. Mantén la respuesta breve.

--- Contexto ---
Ivian_Sarcos se desempeña como Pianista
Dominga_Herrrera se desempeña como Polista

--- Pregunta ---
Pregunta: ¿En qué se desempeña Dominga_Herrrera?

",Polista
"Responde la pregunta basándote en el siguiente contexto. Mantén la respuesta breve.

--- Contexto ---
Reggie_Arosemena se desempeña como Matador
Yeison_Asencio se desempeña como Ictiologo

--- Pregunta ---
Pregunta: ¿En qué se desempeña Yeison_Asencio?

",Ictiologo
"Responde la pregunta basándote en el siguiente contexto. Mantén la respuesta breve.

--- Contexto ---
Antonio_Estévez se desempeña como Clarinetista
Harold_Gramatges se desempeña como Editor

--- Pregunta ---
Pregunta: ¿En qué se desempeña Antonio_Estévez?

",Clarinetista
"Responde la pregunta basándote en el siguiente contexto. Mantén la respuesta breve.

--- Contexto ---
Ernesto_Zedillo se desempeña como Trabajador_Domestico
Terencio_Sierra se desempeña como Actor_Pornografico

--- Pregunta ---
Pregunta: ¿En qué se desempeña Terencio_Sierra?

",Actor_Pornografico
"Responde la pregunta basándote en el siguiente contexto. Mantén la respuesta breve.

--- Contexto ---
Alberto_Baldonado se desempeña como Comediante
Jorge_Vásquez se desempeña como Astronauta

--- Pregunta ---
Pregunta: ¿En qué se desempeña Jorge_Vásquez?

",Astronauta
"Responde la pregunta basándote en el siguiente contexto. Mantén la respuesta breve.

--- Contexto ---
Turichiquí se desempeña como Monje
Miguel_Olivo se desempeña como Enfermero

--- Pregunta ---
Pregunta: ¿En qué se desempeña Miguel_Olivo?

",Enfermero
"Responde la pregunta basándote en el siguiente contexto. Mantén la respuesta breve.

--- Contexto ---
Juan_Caicedo se desempeña como Psiquiatra
Gastón_Acurio se desempeña como Camarero

--- Pregunta ---
Pregunta: ¿En qué se desempeña Gastón_Acurio?

",Camarero
"Responde la pregunta basándote en el siguiente contexto. Mantén la respuesta breve.

--- Contexto ---
Francisco_Escobar se desempeña como Kayakista
Luis_Solari se desempeña como Supermodelo

--- Pregunta ---
Pregunta: ¿En qué se desempeña Luis_Solari?

",Supermodelo
"Responde la pregunta basándote en el siguiente contexto. Mantén la respuesta breve.

--- Contexto ---
Arístides_Incháustegui se desempeña como Luchador_Profesional
Arlen_Cerda se desempeña como Dibujante_Arquitectonico

--- Pregunta ---
Pregunta: ¿En qué se desempeña Arlen_Cerda?

",Dibujante_Arquitectonico
"Responde la pregunta basándote en el siguiente contexto. Mantén la respuesta breve.

--- Contexto ---
Valeriu_Marcu se desempeña como Activista
Rafael_Águila se desempeña como Mediofondista

--- Pregunta ---
Pregunta: ¿En qué se desempeña Valeriu_Marcu?

",Activista
"Responde la pregunta basándote en el siguiente contexto. Mantén la respuesta breve.

--- Contexto ---
Arístides_Martínez se desempeña como Activista_Lgbti
Dionisio_Villacorta se desempeña como Guionista

--- Pregunta ---
Pregunta: ¿En qué se desempeña Arístides_Martínez?

",Activista_Lgbti
"Responde la pregunta basándote en el siguiente contexto. Mantén la respuesta breve.

--- Contexto ---
Carlos_Franqui se desempeña como Funcionario
Ashley_Reid se desempeña como Violinista

--- Pregunta ---
Pregunta: ¿En qué se desempeña Ashley_Reid?

",Violinista
"Responde la pregunta basándote en el siguiente contexto. Mantén la respuesta breve.

--- Contexto ---
Francisco_Varela se desempeña como Escritor_Deportivo
Sergio_Salazar se desempeña como Arbitro

--- Pregunta ---
Pregunta: ¿En qué se desempeña Sergio_Salazar?

",Arbitro
"Responde la pregunta basándote en el siguiente contexto. Mantén la respuesta breve.

--- Contexto ---
Thelma_Rodríguez se desempeña como Grabador
Armando_Polo se desempeña como Pianista

--- Pregunta ---
Pregunta: ¿En qué se desempeña Armando_Polo?

",Pianista
"Responde la pregunta basándote en el siguiente contexto. Mantén la respuesta breve.

--- Contexto ---
José_González se desempeña como Novelista
Victoria_Carrasco se desempeña como Periodista

--- Pregunta ---
Pregunta: ¿En qué se desempeña Victoria_Carrasco?

",Periodista
"Responde la pregunta basándote en el siguiente contexto. Mantén la respuesta breve.

--- Contexto ---
Allan_Lalin se desempeña como Autobiografo
Aureliano_Torres se desempeña como Critico_Literario

--- Pregunta ---
Pregunta: ¿En qué se desempeña Aureliano_Torres?

",Critico_Literario
"Responde la pregunta basándote en el siguiente contexto. Mantén la respuesta breve.

--- Contexto ---
Cecilia_Bolocco se desempeña como Violonchelista
Sergio_Vélez se desempeña como Yudoca

--- Pregunta ---
Pregunta: ¿En qué se desempeña Sergio_Vélez?

",Yudoca
"Responde la pregunta basándote en el siguiente contexto. Mantén la respuesta breve.

--- Contexto ---
Urban_Meyer se desempeña como Compositor
Matías_Campos se desempeña como Director_Deportivo

--- Pregunta ---
Pregunta: ¿En qué se desempeña Matías_Campos?

",Director_Deportivo
"Responde la pregunta basándote en el siguiente contexto. Mantén la respuesta breve.

--- Contexto ---
Arabella_Castro se desempeña como Fondista
Lesvin_Medina se desempeña como Productor_Discografico

--- Pregunta ---
Pregunta: ¿En qué se desempeña Arabella_Castro?

",Fondista
"Responde la pregunta basándote en el siguiente contexto. Mantén la respuesta breve.

--- Contexto ---
Roy_Barahona se desempeña como Farmaceutico
Brayan_García se desempeña como Matematico

--- Pregunta ---
Pregunta: ¿En qué se desempeña Roy_Barahona?

",Farmaceutico
"Responde la pregunta basándote en el siguiente contexto. Mantén la respuesta breve.

--- Contexto ---
Jesica_Cirio se desempeña como Psicologo
José_Ardines se desempeña como Politico

--- Pregunta ---
Pregunta: ¿En qué se desempeña José_Ardines?

",Politico
"Responde la pregunta basándote en el siguiente contexto. Mantén la respuesta breve.

--- Contexto ---
Radhamés_Liz se desempeña como Pianista
Víctor_Farías se desempeña como Violinista

--- Pregunta ---
Pregunta: ¿En qué se desempeña Víctor_Farías?

",Violinista
"Responde la pregunta basándote en el siguiente contexto. Mantén la respuesta breve.

--- Contexto ---
Roberto_Bonomi se desempeña como Productor_Musical
Mariano_Acha se desempeña como Presidente

--- Pregunta ---
Pregunta: ¿En qué se desempeña Mariano_Acha?

",Presidente
"Responde la pregunta basándote en el siguiente contexto. Mantén la respuesta breve.

--- Contexto ---
Omar_Benítez se desempeña como Ictiologo
Jean_Deza se desempeña como Novelista

--- Pregunta ---
Pregunta: ¿En qué se desempeña Omar_Benítez?

",Ictiologo
"Responde la pregunta basándote en el siguiente contexto. Mantén la respuesta breve.

--- Contexto ---
Erick_Almonte se desempeña como Dramaturgo
Jorge_Hourton se desempeña como Ictiologo

--- Pregunta ---
Pregunta: ¿En qué se desempeña Erick_Almonte?

",Dramaturgo
"Responde la pregunta basándote en el siguiente contexto. Mantén la respuesta breve.

--- Contexto ---
Eisner_Barberena se desempeña como Columnista
Laura_Allende se desempeña como Atleta

--- Pregunta ---
Pregunta: ¿En qué se desempeña Laura_Allende?

",Atleta
"Responde la pregunta basándote en el siguiente contexto. Mantén la respuesta breve.

--- Contexto ---
Rolando_Castellón se desempeña como Vocalista
Isolda_Hurtado se desempeña como Supermodelo

--- Pregunta ---
Pregunta: ¿En qué se desempeña Isolda_Hurtado?

",Supermodelo
"Responde la pregunta basándote en el siguiente contexto. Mantén la respuesta breve.

--- Contexto ---
Carmen_Boullosa se desempeña como Cacique
Rebecca_Grinter se desempeña como Agronomo

--- Pregunta ---
Pregunta: ¿En qué se desempeña Rebecca_Grinter?

",Agronomo
"Responde la pregunta basándote en el siguiente contexto. Mantén la respuesta breve.

--- Contexto ---
Gonzalo_Cardozo se desempeña como Lider_Religioso
Enrique_Regüeiferos se desempeña como Sacerdote

--- Pregunta ---
Pregunta: ¿En qué se desempeña Enrique_Regüeiferos?

",Sacerdote
"Responde la pregunta basándote en el siguiente contexto. Mantén la respuesta breve.

--- Contexto ---
Ana_Valverde se desempeña como Periodista
Inés_Trejos se desempeña como Inversor

--- Pregunta ---
Pregunta: ¿En qué se desempeña Inés_Trejos?

",Inversor
"Responde la pregunta basándote en el siguiente contexto. Mantén la respuesta breve.

--- Contexto ---
Wilmer_Herrison se desempeña como Activista_Politico
José_Caballero se desempeña como Guitarrista

--- Pregunta ---
Pregunta: ¿En qué se desempeña José_Caballero?

",Guitarrista
"Responde la pregunta basándote en el siguiente contexto. Mantén la respuesta breve.

--- Contexto ---
Tamara_Bunke se desempeña como Badmintonista
Alina_Garciamendez se desempeña como Esquiador_Alpino

--- Pregunta ---
Pregunta: ¿En qué se desempeña Tamara_Bunke?

",Badmintonista
"Responde la pregunta basándote en el siguiente contexto. Mantén la respuesta breve.

--- Contexto ---
Leo_Brouwer se desempeña como Esquiador_Alpino
Claudia_Hernández se desempeña como Sociologo

--- Pregunta ---
Pregunta: ¿En qué se desempeña Leo_Brouwer?

",Esquiador_Alpino
"Responde la pregunta basándote en el siguiente contexto. Mantén la respuesta breve.

--- Contexto ---
Raúl_Patiño se desempeña como Animador
Alexandra_Salvador se desempeña como Comentarista_Deportivo

--- Pregunta ---
Pregunta: ¿En qué se desempeña Raúl_Patiño?

",Animador
"Responde la pregunta basándote en el siguiente contexto. Mantén la respuesta breve.

--- Contexto ---
Cindy_Rondón se desempeña como Trabajador_Domestico
Mick_Foley se desempeña como Criminal

--- Pregunta ---
Pregunta: ¿En qué se desempeña Cindy_Rondón?

",Trabajador_Domestico
"Responde la pregunta basándote en el siguiente contexto. Mantén la respuesta breve.

--- Contexto ---
Isabel_Sabogal se desempeña como Comerciante
Daniel_Zamudio se desempeña como Clarinetista

--- Pregunta ---
Pregunta: ¿En qué se desempeña Daniel_Zamudio?

",Clarinetista
"Responde la pregunta basándote en el siguiente contexto. Mantén la respuesta breve.

--- Contexto ---
Nicolás_Burdisso se desempeña como Empresario
María_Martínez se desempeña como Herpetologo

--- Pregunta ---
Pregunta: ¿En qué se desempeña María_Martínez?

",Herpetologo
"Responde la pregunta basándote en el siguiente contexto. Mantén la respuesta breve.

--- Contexto ---
Manny_Ramírez se desempeña como Ciclista
Black_Francis se desempeña como Beisbolista

--- Pregunta ---
Pregunta: ¿En qué se desempeña Manny_Ramírez?

",Ciclista
"Responde la pregunta basándote en el siguiente contexto. Mantén la respuesta breve.

--- Contexto ---
Jorge_Icaza se desempeña como Compositor
López_Sibrián se desempeña como Director_Ejecutivo

--- Pregunta ---
Pregunta: ¿En qué se desempeña Jorge_Icaza?

",Compositor
"Responde la pregunta basándote en el siguiente contexto. Mantén la respuesta breve.

--- Contexto ---
Luis_Espel se desempeña como Artista
Maria_Cervantes se desempeña como Artista_Escenico

--- Pregunta ---
Pregunta: ¿En qué se desempeña Luis_Espel?

",Artista
"Responde la pregunta basándote en el siguiente contexto. Mantén la respuesta breve.

--- Contexto ---
Kevin_Rudolf se desempeña como Chaman
Kendall_Grant se desempeña como Biofisico

--- Pregunta ---
Pregunta: ¿En qué se desempeña Kendall_Grant?

",Biofisico
"Responde la pregunta basándote en el siguiente contexto. Mantén la respuesta breve.

--- Contexto ---
Leonardo_Valencia se desempeña como Cientifico
Rubén_Guevara se desempeña como Sociologo

--- Pregunta ---
Pregunta: ¿En qué se desempeña Rubén_Guevara?

",Sociologo
"Responde la pregunta basándote en el siguiente contexto. Mantén la respuesta breve.

--- Contexto ---
Niurka_Montalvo se desempeña como Economista
César_Delgado se desempeña como Influencer

--- Pregunta ---
Pregunta: ¿En qué se desempeña Niurka_Montalvo?

",Economista
"Responde la pregunta basándote en el siguiente contexto. Mantén la respuesta breve.

--- Contexto ---
Daimí_Pernía se desempeña como Astronomo
Armando_Alonso se desempeña como Informatico_Teorico

--- Pregunta ---
Pregunta: ¿En qué se desempeña Daimí_Pernía?

",Astronomo
"Responde la pregunta basándote en el siguiente contexto. Mantén la respuesta breve.

--- Contexto ---
Alejandro_Arostegui se desempeña como Artista
Robeisy_Ramírez se desempeña como Arbitro

--- Pregunta ---
Pregunta: ¿En qué se desempeña Robeisy_Ramírez?

",Arbitro
"Responde la pregunta basándote en el siguiente contexto. Mantén la respuesta breve.

--- Contexto ---
Alicia_Nororis se desempeña como Alto_Cargo
Joel_Tesis se desempeña como Actor

--- Pregunta ---
Pregunta: ¿En qué se desempeña Alicia_Nororis?

",Alto_Cargo
"Responde la pregunta basándote en el siguiente contexto. Mantén la respuesta breve.

--- Contexto ---
Arodys_Vizcaíno se desempeña como Escritor_Tecnico
Wifredo_Lam se desempeña como Dibujante

--- Pregunta ---
Pregunta: ¿En qué se desempeña Wifredo_Lam?

",Dibujante
"Responde la pregunta basándote en el siguiente contexto. Mantén la respuesta breve.

--- Contexto ---
Erasmo_Sierra se desempeña como Revolucionario
David_Galindo se desempeña como Beisbolista

--- Pregunta ---
Pregunta: ¿En qué se desempeña Erasmo_Sierra?

",Revolucionario
"Responde la pregunta basándote en el siguiente contexto. Mantén la respuesta breve.

--- Contexto ---
Teodoro_Palacios se desempeña como Boxeador
Moisés_Hassan se desempeña como Torero

--- Pregunta ---
Pregunta: ¿En qué se desempeña Moisés_Hassan?

",Torero
"Responde la pregunta basándote en el siguiente contexto. Mantén la respuesta breve.

--- Contexto ---
Carmencita_Lara se desempeña como Badmintonista
Alberto_Lanteri se desempeña como Ingeniero_Agronomo

--- Pregunta ---
Pregunta: ¿En qué se desempeña Alberto_Lanteri?

",Ingeniero_Agronomo
"Responde la pregunta basándote en el siguiente contexto. Mantén la respuesta breve.

--- Contexto ---
Leonel se desempeña como Actor_Pornografico
Felipe_Baloy se desempeña como Biofisico

--- Pregunta ---
Pregunta: ¿En qué se desempeña Felipe_Baloy?

",Biofisico
"Responde la pregunta basándote en el siguiente contexto. Mantén la respuesta breve.

--- Contexto ---
Alison_Lohman se desempeña como Vocalista
Aldo_Paniagua se desempeña como Matematico

--- Pregunta ---
Pregunta: ¿En qué se desempeña Aldo_Paniagua?

",Matematico
"Responde la pregunta basándote en el siguiente contexto. Mantén la respuesta breve.

--- Contexto ---
Blas_Riveros se desempeña como Lider_Militar
Gustavo_Palmerola se desempeña como Dibujante_Arquitectonico

--- Pregunta ---
Pregunta: ¿En qué se desempeña Gustavo_Palmerola?

",Dibujante_Arquitectonico
"Responde la pregunta basándote en el siguiente contexto. Mantén la respuesta breve.

--- Contexto ---
Eury_Pérez se desempeña como Guerrillero
Alfredo_Bauer se desempeña como Gerente

--- Pregunta ---
Pregunta: ¿En qué se desempeña Eury_Pérez?

",Guerrillero
"Responde la pregunta basándote en el siguiente contexto. Mantén la respuesta breve.

--- Contexto ---
Harold_Gramatges se desempeña como Editor
Aldo_Martínez se desempeña como Realizador

--- Pregunta ---
Pregunta: ¿En qué se desempeña Harold_Gramatges?

",Editor
