prompt,respuesta
"Responde la pregunta basándote en el siguiente contexto. Mantén la respuesta breve.

--- Contexto ---
Mario_Davidovsky falleció en el año 1837
Morella_Muñoz falleció en el año 1986

--- Pregunta ---
Pregunta: ¿En qué año falleció Morella_Muñoz?

",1986
"Responde la pregunta basándote en el siguiente contexto. Mantén la respuesta breve.

--- Contexto ---
Leopoldo_Rother falleció en el año 1905
Blas_Parera falleció en el año 1957

--- Pregunta ---
Pregunta: ¿En qué año falleció Blas_Parera?

",1957
"Responde la pregunta basándote en el siguiente contexto. Mantén la respuesta breve.

--- Contexto ---
Lillian_Molieri falleció en el año 1816
Emilio_Palmero falleció en el año 2016

--- Pregunta ---
Pregunta: ¿En qué año falleció Emilio_Palmero?

",2016
"Responde la pregunta basándote en el siguiente contexto. Mantén la respuesta breve.

--- Contexto ---
Irma_Prego falleció en el año 1939
Ivan_Palazzese falleció en el año 1860

--- Pregunta ---
Pregunta: ¿En qué año falleció Ivan_Palazzese?

",1860
"Responde la pregunta basándote en el siguiente contexto. Mantén la respuesta breve.

--- Contexto ---
Carlos_Gardel falleció en el año 1890
Tomás_Martínez falleció en el año 1821

--- Pregunta ---
Pregunta: ¿En qué año falleció Carlos_Gardel?

",1890
"Responde la pregunta basándote en el siguiente contexto. Mantén la respuesta breve.

--- Contexto ---
Reynaldo_Hahn falleció en el año 1803
César_Tovar falleció en el año 1951

--- Pregunta ---
Pregunta: ¿En qué año falleció Reynaldo_Hahn?

",1803
"Responde la pregunta basándote en el siguiente contexto. Mantén la respuesta breve.

--- Contexto ---
René_Portocarrero falleció en el año 1919
Ana_Mendieta falleció en el año 1933

--- Pregunta ---
Pregunta: ¿En qué año falleció Ana_Mendieta?

",1933
"Responde la pregunta basándote en el siguiente contexto. Mantén la respuesta breve.

--- Contexto ---
Lissie_Habie falleció en el año 1974
Bill_Flagg falleció en el año 1891

--- Pregunta ---
Pregunta: ¿En qué año falleció Bill_Flagg?

",1891
"Responde la pregunta basándote en el siguiente contexto. Mantén la respuesta breve.

--- Contexto ---
Carmen_Herrera falleció en el año 1971
Vicente_Fernández falleció en el año 1998

--- Pregunta ---
Pregunta: ¿En qué año falleció Carmen_Herrera?

",1971
"Responde la pregunta basándote en el siguiente contexto. Mantén la respuesta breve.

--- Contexto ---
Stanley_Kubrick falleció en el año 1907
Moises_Béhar falleció en el año 1970

--- Pregunta ---
Pregunta: ¿En qué año falleció Moises_Béhar?

",1970
"Responde la pregunta basándote en el siguiente contexto. Mantén la respuesta breve.

--- Contexto ---
José_Miracca falleció en el año 1980
Hilda_Coriz falleció en el año 1877

--- Pregunta ---
Pregunta: ¿En qué año falleció Hilda_Coriz?

",1877
"Responde la pregunta basándote en el siguiente contexto. Mantén la respuesta breve.

--- Contexto ---
Santiago_Cortés falleció en el año 1982
Abelardo_Arias falleció en el año 1853

--- Pregunta ---
Pregunta: ¿En qué año falleció Santiago_Cortés?

",1982
"Responde la pregunta basándote en el siguiente contexto. Mantén la respuesta breve.

--- Contexto ---
Abel_Bravo falleció en el año 1909
Ascanio_Arosemena falleció en el año 1932

--- Pregunta ---
Pregunta: ¿En qué año falleció Abel_Bravo?

",1909
"Responde la pregunta basándote en el siguiente contexto. Mantén la respuesta breve.

--- Contexto ---
Lenard_Welsh falleció en el año 1839
Ismael_Díaz falleció en el año 1930

--- Pregunta ---
Pregunta: ¿En qué año falleció Lenard_Welsh?

",1839
"Responde la pregunta basándote en el siguiente contexto. Mantén la respuesta breve.

--- Contexto ---
Bebo_Valdés falleció en el año 1979
Pedro_Ampudia falleció en el año 1887

--- Pregunta ---
Pregunta: ¿En qué año falleció Pedro_Ampudia?

",1887
"Responde la pregunta basándote en el siguiente contexto. Mantén la respuesta breve.

--- Contexto ---
Boris_Goldenberg falleció en el año 2001
Carmelo_Fernández falleció en el año 1985

--- Pregunta ---
Pregunta: ¿En qué año falleció Carmelo_Fernández?

",1985
"Responde la pregunta basándote en el siguiente contexto. Mantén la respuesta breve.

--- Contexto ---
Judy_Garland falleció en el año 1921
Grete_Stern falleció en el año 1978

--- Pregunta ---
Pregunta: ¿En qué año falleció Grete_Stern?

",1978
"Responde la pregunta basándote en el siguiente contexto. Mantén la respuesta breve.

--- Contexto ---
Osvaldo_Rodríguez falleció en el año 1925
Saby_Kamalich falleció en el año 1833

--- Pregunta ---
Pregunta: ¿En qué año falleció Saby_Kamalich?

",1833
"Responde la pregunta basándote en el siguiente contexto. Mantén la respuesta breve.

--- Contexto ---
John_Tyler falleció en el año 1891
Livio_Abramo falleció en el año 2023

--- Pregunta ---
Pregunta: ¿En qué año falleció Livio_Abramo?

",2023
"Responde la pregunta basándote en el siguiente contexto. Mantén la respuesta breve.

--- Contexto ---
Carlos_Sowersby falleció en el año 1836
José_Jhonson falleció en el año 1972

--- Pregunta ---
Pregunta: ¿En qué año falleció Carlos_Sowersby?

",1836
"Responde la pregunta basándote en el siguiente contexto. Mantén la respuesta breve.

--- Contexto ---
Kenneth_Clark falleció en el año 1924
Hilda_Coriz falleció en el año 1877

--- Pregunta ---
Pregunta: ¿En qué año falleció Kenneth_Clark?

",1924
"Responde la pregunta basándote en el siguiente contexto. Mantén la respuesta breve.

--- Contexto ---
Alejandro_Villanueva falleció en el año 2018
Gilberto_Penayo falleció en el año 1821

--- Pregunta ---
Pregunta: ¿En qué año falleció Gilberto_Penayo?

",1821
"Responde la pregunta basándote en el siguiente contexto. Mantén la respuesta breve.

--- Contexto ---
Marga_López falleció en el año 1851
Mauricio_Funes falleció en el año 1965

--- Pregunta ---
Pregunta: ¿En qué año falleció Marga_López?

",1851
"Responde la pregunta basándote en el siguiente contexto. Mantén la respuesta breve.

--- Contexto ---
Michael_Aris falleció en el año 1906
Pedro_Mir falleció en el año 1869

--- Pregunta ---
Pregunta: ¿En qué año falleció Michael_Aris?

",1906
"Responde la pregunta basándote en el siguiente contexto. Mantén la respuesta breve.

--- Contexto ---
Jorge_Búcaro falleció en el año 1886
Leongino_Unzaim falleció en el año 1973

--- Pregunta ---
Pregunta: ¿En qué año falleció Jorge_Búcaro?

",1886
"Responde la pregunta basándote en el siguiente contexto. Mantén la respuesta breve.

--- Contexto ---
Morena_Celarié falleció en el año 1895
Enrique_Ortez falleció en el año 1986

--- Pregunta ---
Pregunta: ¿En qué año falleció Enrique_Ortez?

",1986
"Responde la pregunta basándote en el siguiente contexto. Mantén la respuesta breve.

--- Contexto ---
Chucho_Ramos falleció en el año 1933
Francisco_Navarro falleció en el año 2019

--- Pregunta ---
Pregunta: ¿En qué año falleció Chucho_Ramos?

",1933
"Responde la pregunta basándote en el siguiente contexto. Mantén la respuesta breve.

--- Contexto ---
Maruja_Roig falleció en el año 1970
René_Poitevin falleció en el año 1914

--- Pregunta ---
Pregunta: ¿En qué año falleció René_Poitevin?

",1914
"Responde la pregunta basándote en el siguiente contexto. Mantén la respuesta breve.

--- Contexto ---
Marta_Brunet falleció en el año 1860
Wilfrido_Castro falleció en el año 1867

--- Pregunta ---
Pregunta: ¿En qué año falleció Wilfrido_Castro?

",1867
"Responde la pregunta basándote en el siguiente contexto. Mantén la respuesta breve.

--- Contexto ---
Rosa_Markmann falleció en el año 1985
Arsenio_Rodríguez falleció en el año 2009

--- Pregunta ---
Pregunta: ¿En qué año falleció Rosa_Markmann?

",1985
"Responde la pregunta basándote en el siguiente contexto. Mantén la respuesta breve.

--- Contexto ---
Josefina_Plá falleció en el año 1911
Jacques_Chonchol falleció en el año 1896

--- Pregunta ---
Pregunta: ¿En qué año falleció Josefina_Plá?

",1911
"Responde la pregunta basándote en el siguiente contexto. Mantén la respuesta breve.

--- Contexto ---
Virgilio_Piñera falleció en el año 1849
Eddie_Gazo falleció en el año 1973

--- Pregunta ---
Pregunta: ¿En qué año falleció Virgilio_Piñera?

",1849
"Responde la pregunta basándote en el siguiente contexto. Mantén la respuesta breve.

--- Contexto ---
Gumercinda_Páez falleció en el año 1984
Tilda_Thamar falleció en el año 1855

--- Pregunta ---
Pregunta: ¿En qué año falleció Tilda_Thamar?

",1855
"Responde la pregunta basándote en el siguiente contexto. Mantén la respuesta breve.

--- Contexto ---
Oswaldo_Payá falleció en el año 1881
Pavel_Centeno falleció en el año 1981

--- Pregunta ---
Pregunta: ¿En qué año falleció Pavel_Centeno?

",1981
"Responde la pregunta basándote en el siguiente contexto. Mantén la respuesta breve.

--- Contexto ---
Miguel_Morazán falleció en el año 1950
Honorio_Siccardi falleció en el año 2007

--- Pregunta ---
Pregunta: ¿En qué año falleció Miguel_Morazán?

",1950
"Responde la pregunta basándote en el siguiente contexto. Mantén la respuesta breve.

--- Contexto ---
Humberto_Maturana falleció en el año 1904
Federico_Páez falleció en el año 1986

--- Pregunta ---
Pregunta: ¿En qué año falleció Humberto_Maturana?

",1904
"Responde la pregunta basándote en el siguiente contexto. Mantén la respuesta breve.

--- Contexto ---
Roberto_Beracochea falleció en el año 1910
Agustín_Gamarra falleció en el año 1960

--- Pregunta ---
Pregunta: ¿En qué año falleció Agustín_Gamarra?

",1960
"Responde la pregunta basándote en el siguiente contexto. Mantén la respuesta breve.

--- Contexto ---
Anaïs_Nin falleció en el año 1850
Rafael_Bonnelly falleció en el año 1839

--- Pregunta ---
Pregunta: ¿En qué año falleció Anaïs_Nin?

",1850
