entidad,relacion,objetos,pregunta,respuestas,obtenido_de,respuestas_aliases
Departamento de Ahuachapán,reemplaza a,['Partido de Ahuachapán'],Contesta la siguiente pregunta: ¿A quién o a qué reemplaza Departamento de Ahuachapán?,['Partido de Ahuachapán'],['el_salvador'],"[['Partido de Ahuachapán', 'Subdelegación de Ahuachapán']]"
Director General de Correos,reemplaza a,['Administrador General de Correos'],Contesta la siguiente pregunta: ¿A quién o a qué reemplaza Director General de Correos?,['Administrador General de Correos'],['el_salvador'],[['Administrador General de Correos']]
León,reemplaza a,['Ruínas de León Viejo'],Contesta la siguiente pregunta: ¿A quién o a qué reemplaza León?,['Ruínas de León Viejo'],['nicaragua'],[['Leon Viejo']]
Orden de Klement Gottwald por la Construcción de la Patria Socialista,reemplaza a,['Orden de la Construcción de la Patria Socialista'],Contesta la siguiente pregunta: ¿A quién o a qué reemplaza Orden de Klement Gottwald por la Construcción de la Patria Socialista?,['Orden de la Construcción de la Patria Socialista'],['chile'],[[]]
Universidad de Salamanca,reemplaza a,['Estudio General de Salamanca'],Contesta la siguiente pregunta: ¿A quién o a qué reemplaza Universidad de Salamanca?,['Estudio General de Salamanca'],['guatemala'],"[['Estudio General de Salamanca', 'Studii Salmantini', 'Studium Generale de Salamanca']]"
Óscar a los mejores efectos visuales,reemplaza a,['Óscar a los mejores efectos especiales'],Contesta la siguiente pregunta: ¿A quién o a qué reemplaza Óscar a los mejores efectos visuales?,['Óscar a los mejores efectos especiales'],['usa'],[[]]
Antes que anochezca,representa a,['Reinaldo Arenas Fuentes'],Contesta la siguiente pregunta: ¿A quién o qué representa Antes que anochezca?,['Reinaldo Arenas Fuentes'],['cuba'],"[['Reinaldo Arenas', 'Reinaldo Arenas Fuentes']]"
Bandera Nacional de la República Dominicana,representa a,"['cruz', 'Escudo de la República Dominicana', 'campo']",Contesta la siguiente pregunta: ¿A quién o qué representa Bandera Nacional de la República Dominicana?,"['cruz', 'Escudo de la República Dominicana', 'campo']","['republica_dominicana', 'republica_dominicana', 'republica_dominicana']","[[], ['Escudo de la República Dominicana'], ['República Dominicana', 'Bandera Nacional']]"
Bandera de Panamá,representa a,"['campo', 'estrella de cinco puntas']",Contesta la siguiente pregunta: ¿A quién o qué representa Bandera de Panamá?,"['campo', 'estrella de cinco puntas']","['panama', 'panama']","[['campo'], ['Estrella de 5 puntas']]"
De mangos y albaricoques,representa a,['protagonista LGBT'],Contesta la siguiente pregunta: ¿A quién o qué representa De mangos y albaricoques?,['protagonista LGBT'],['panama'],[[]]
"Del amor, del dolor y del vicio",representa a,['personaje LGBT'],"Contesta la siguiente pregunta: ¿A quién o qué representa Del amor, del dolor y del vicio?",['personaje LGBT'],['guatemala'],"[['Personaje LGBT', 'Personaje LGBT+']]"
El demagogo,representa a,['esqueleto'],Contesta la siguiente pregunta: ¿A quién o qué representa El demagogo?,['esqueleto'],['mexico'],"[['Sistema esqueletico', 'Sistema esquelético']]"
Estrella del Paseo de la Fama de Hollywood,representa a,['estrella'],Contesta la siguiente pregunta: ¿A quién o qué representa Estrella del Paseo de la Fama de Hollywood?,['estrella'],['cuba'],[['estrella']]
La guerra de guerrillas,representa a,['Che Guevara'],Contesta la siguiente pregunta: ¿A quién o qué representa La guerra de guerrillas?,['Che Guevara'],['cuba'],"[['Che', 'El Che', 'Ernesto', 'Ernesto Guevara', 'Ernesto Guevara de la Serna']]"
Murales de la Industria de Detroit,representa a,['trabajo'],Contesta la siguiente pregunta: ¿A quién o qué representa Murales de la Industria de Detroit?,['trabajo'],['mexico'],"[['Murales de la Industria de Detroit', 'Trabajo mecánico']]"
Alfaguara,propiedad de,['Penguin Random House Grupo Editorial'],Contesta la siguiente pregunta: ¿A quién pertenece Alfaguara?,['Penguin Random House Grupo Editorial'],['guatemala'],[[]]
Canal 13,propiedad de,['Pontificia Universidad Católica de Chile'],Contesta la siguiente pregunta: ¿A quién pertenece Canal 13?,['Pontificia Universidad Católica de Chile'],['chile'],"[['PUC', 'Pontificia Universidad Catolica de Chile', 'Universidad Catolica de Chile', 'Universidad Católica de Chile']]"
Caracol Radio,propiedad de,['Grupo Prisa'],Contesta la siguiente pregunta: ¿A quién pertenece Caracol Radio?,['Grupo Prisa'],['colombia'],[['Grupo Prisa']]
Centro de Educación Artística,propiedad de,['Grupo Televisa'],Contesta la siguiente pregunta: ¿A quién pertenece Centro de Educación Artística?,['Grupo Televisa'],['cuba'],"[['Televisa', 'Televisa SA de CV']]"
DuPont Corporation,propiedad de,"['BlackRock', 'The Vanguard Group']",Contesta la siguiente pregunta: ¿A quién pertenece DuPont Corporation?,"['BlackRock', 'The Vanguard Group']","['usa', 'usa']","[['BlackRock, Inc.'], []]"
Dunkin',propiedad de,['Inspirar marcas'],Contesta la siguiente pregunta: ¿A quién pertenece Dunkin'?,['Inspirar marcas'],['usa'],[[]]
Díptico de Marilyn,propiedad de,"['Tate Modern', 'Tate']",Contesta la siguiente pregunta: ¿A quién pertenece Díptico de Marilyn?,"['Tate Modern', 'Tate']","['usa', 'usa']","[['Tate Modern', 'Museo Nacional Britanico de Arte Moderno'], []]"
Fox Sports,propiedad de,"['The Walt Disney Company', 'Foxtel', 'Mediapro']",Contesta la siguiente pregunta: ¿A quién pertenece Fox Sports?,"['The Walt Disney Company', 'Foxtel', 'Mediapro']","['republica_dominicana', 'republica_dominicana', 'republica_dominicana']","[['Walt Disney', 'Disney', 'The Walt Disney Company', 'The Walt Disney Studio', 'Walt Disney Productions'], [], []]"
Instituto O'Higgins de Rancagua,propiedad de,['Congregación de los Hermanos Maristas'],Contesta la siguiente pregunta: ¿A quién pertenece Instituto O'Higgins de Rancagua?,['Congregación de los Hermanos Maristas'],['chile'],"[['Maristas', 'Congregación de los Hermanos Maristas', 'Hermanos Maristas', 'Maristas de Champagnat', 'P.F.M.']]"
Jarosław,propiedad de,['Jan of Tarnów'],Contesta la siguiente pregunta: ¿A quién pertenece Jarosław?,['Jan of Tarnów'],['venezuela'],[['Jan of Tarnów']]
La Sorbona,propiedad de,['municipalidad de París'],Contesta la siguiente pregunta: ¿A quién pertenece La Sorbona?,['municipalidad de París'],['costa_rica'],"[['Alcaldia de Paris', 'Alcaldía de Paris', 'Mairie de Paris', 'Mairie de París', 'Municipalidad de Paris', 'Municipio de Paris', 'Municipio de París']]"
Miss Venezuela,propiedad de,['Organización Miss Venezuela'],Contesta la siguiente pregunta: ¿A quién pertenece Miss Venezuela?,['Organización Miss Venezuela'],['venezuela'],[['Organization Miss Venezuela']]
Palacio del príncipe de Mónaco,propiedad de,['Casa de Grimaldi'],Contesta la siguiente pregunta: ¿A quién pertenece Palacio del príncipe de Mónaco?,['Casa de Grimaldi'],['usa'],"[['Grimaldi', 'Dinastia Grimaldi', 'Dinastía Grimaldi', 'Familia Grimaldi', 'Grimaldi (familia)']]"
RCTV,propiedad de,['Empresas 1BC'],Contesta la siguiente pregunta: ¿A quién pertenece RCTV?,['Empresas 1BC'],['ecuador'],"[['1BC', 'Grupo 1BC']]"
Televisa San Ángel,propiedad de,['Grupo Televisa'],Contesta la siguiente pregunta: ¿A quién pertenece Televisa San Ángel?,['Grupo Televisa'],['mexico'],"[['Grupo Televisa', 'Televisa SA de CV']]"
US West,propiedad de,['AT&T Corporation'],Contesta la siguiente pregunta: ¿A quién pertenece US West?,['AT&T Corporation'],['usa'],[[]]
Venevisión,propiedad de,['Organización Cisneros'],Contesta la siguiente pregunta: ¿A quién pertenece Venevisión?,['Organización Cisneros'],['venezuela'],"[['Cisneros', 'Organización Cisneros']]"
premio Grammy al mejor álbum de pop latino,propiedad de,['Alejandro Sanz'],Contesta la siguiente pregunta: ¿A quién pertenece premio Grammy al mejor álbum de pop latino?,['Alejandro Sanz'],['colombia'],[['Alejandro Sánchez Pizarro']]
Academia Colombiana de la Lengua,categoría de miembros,['Categoría:Miembros de la Academia Colombiana de la Lengua'],Contesta la siguiente pregunta: ¿A qué categoría de miembros pertenece Academia Colombiana de la Lengua?,['Categoría:Miembros de la Academia Colombiana de la Lengua'],['colombia'],[[]]
Academia Nacional de Ciencias de los Estados Unidos,categoría de miembros,['Categoría:Miembros de la Academia Nacional de Ciencias de Estados Unidos'],Contesta la siguiente pregunta: ¿A qué categoría de miembros pertenece Academia Nacional de Ciencias de los Estados Unidos?,['Categoría:Miembros de la Academia Nacional de Ciencias de Estados Unidos'],['chile'],[[]]
Academia de Bellas Artes,categoría de miembros,['Categoría:Miembros de la Academia de Bellas Artes de Francia'],Contesta la siguiente pregunta: ¿A qué categoría de miembros pertenece Academia de Bellas Artes?,['Categoría:Miembros de la Academia de Bellas Artes de Francia'],['venezuela'],[[]]
Pixies,categoría de miembros,['Categoría:Miembros de Pixies'],Contesta la siguiente pregunta: ¿A qué categoría de miembros pertenece Pixies?,['Categoría:Miembros de Pixies'],['argentina'],[[]]
Salón Internacional de la Fama del tenis,categoría de miembros,['Categoría:Miembros del Salón de la Fama del tenis'],Contesta la siguiente pregunta: ¿A qué categoría de miembros pertenece Salón Internacional de la Fama del tenis?,['Categoría:Miembros del Salón de la Fama del tenis'],['argentina'],[[]]
Slayer,categoría de miembros,['Categoría:Miembros de Slayer'],Contesta la siguiente pregunta: ¿A qué categoría de miembros pertenece Slayer?,['Categoría:Miembros de Slayer'],['chile'],[[]]
Acarigua,categoría de personas relacionadas,['Categoría:Acarigüeños'],Contesta la siguiente pregunta: ¿A qué categoría pertenecen las personas relacionadas con Acarigua?,['Categoría:Acarigüeños'],['venezuela'],[[]]
Aguascalientes,categoría de personas relacionadas,['Categoría:Personas de Aguascalientes (ciudad)'],Contesta la siguiente pregunta: ¿A qué categoría pertenecen las personas relacionadas con Aguascalientes?,['Categoría:Personas de Aguascalientes (ciudad)'],['mexico'],[[]]
Babahoyo,categoría de personas relacionadas,['Categoría:Babahoyenses'],Contesta la siguiente pregunta: ¿A qué categoría pertenecen las personas relacionadas con Babahoyo?,['Categoría:Babahoyenses'],['ecuador'],[[]]
Berkeley,categoría de personas relacionadas,['Categoría:Personas de Berkeley (California)'],Contesta la siguiente pregunta: ¿A qué categoría pertenecen las personas relacionadas con Berkeley?,['Categoría:Personas de Berkeley (California)'],['usa'],[[]]
Cauquenes,categoría de personas relacionadas,['Categoría:Personas de Cauquenes'],Contesta la siguiente pregunta: ¿A qué categoría pertenecen las personas relacionadas con Cauquenes?,['Categoría:Personas de Cauquenes'],['chile'],[[]]
Ciudad del Este,categoría de personas relacionadas,['Categoría:Personas de Ciudad del Este'],Contesta la siguiente pregunta: ¿A qué categoría pertenecen las personas relacionadas con Ciudad del Este?,['Categoría:Personas de Ciudad del Este'],['paraguay'],[[]]
