prompt,respuesta
"Responde la pregunta basándote en el siguiente contexto. Mantén la respuesta breve.

--- Contexto ---
Alda_Facio posee la ciudadanía del país Paraguay
Orlando_Letelier posee la ciudadanía del país Cuba

--- Pregunta ---
Pregunta: ¿De qué país posee la ciudadanía Orlando_Letelier?

",Cuba
"Responde la pregunta basándote en el siguiente contexto. Mantén la respuesta breve.

--- Contexto ---
Ana_Galindo posee la ciudadanía del país Cuba
Lolo_Fernández posee la ciudadanía del país Honduras

--- Pregunta ---
Pregunta: ¿De qué país posee la ciudadanía Lolo_Fernández?

",Honduras
"Responde la pregunta basándote en el siguiente contexto. Mantén la respuesta breve.

--- Contexto ---
Diego_Acosta posee la ciudadanía del país El_Salvador
Donis_Escober posee la ciudadanía del país Mexico

--- Pregunta ---
Pregunta: ¿De qué país posee la ciudadanía Diego_Acosta?

",El_Salvador
"Responde la pregunta basándote en el siguiente contexto. Mantén la respuesta breve.

--- Contexto ---
Carlos_Dávila posee la ciudadanía del país Paraguay
Jorge_Basadre posee la ciudadanía del país Nicaragua

--- Pregunta ---
Pregunta: ¿De qué país posee la ciudadanía Carlos_Dávila?

",Paraguay
"Responde la pregunta basándote en el siguiente contexto. Mantén la respuesta breve.

--- Contexto ---
Amelián_Zerón posee la ciudadanía del país El_Salvador
Sofía_Ugarriza posee la ciudadanía del país Chile

--- Pregunta ---
Pregunta: ¿De qué país posee la ciudadanía Sofía_Ugarriza?

",Chile
"Responde la pregunta basándote en el siguiente contexto. Mantén la respuesta breve.

--- Contexto ---
Augusto_Leguía posee la ciudadanía del país Portugal
Carol_Zardetto posee la ciudadanía del país Mexico

--- Pregunta ---
Pregunta: ¿De qué país posee la ciudadanía Augusto_Leguía?

",Portugal
"Responde la pregunta basándote en el siguiente contexto. Mantén la respuesta breve.

--- Contexto ---
Giselle_Itié posee la ciudadanía del país Cuba
Victoria_Maurette posee la ciudadanía del país Costa_Rica

--- Pregunta ---
Pregunta: ¿De qué país posee la ciudadanía Victoria_Maurette?

",Costa_Rica
"Responde la pregunta basándote en el siguiente contexto. Mantén la respuesta breve.

--- Contexto ---
Christian_Gómez posee la ciudadanía del país Argentina
Wilson_Zambrano posee la ciudadanía del país Mexico

--- Pregunta ---
Pregunta: ¿De qué país posee la ciudadanía Christian_Gómez?

",Argentina
"Responde la pregunta basándote en el siguiente contexto. Mantén la respuesta breve.

--- Contexto ---
Marlene_Ahrens posee la ciudadanía del país Austria
Paul_Kirchhoff posee la ciudadanía del país Honduras

--- Pregunta ---
Pregunta: ¿De qué país posee la ciudadanía Marlene_Ahrens?

",Austria
"Responde la pregunta basándote en el siguiente contexto. Mantén la respuesta breve.

--- Contexto ---
Fanny_Rodríguez posee la ciudadanía del país Guatemala
Abel_Prieto posee la ciudadanía del país El_Salvador

--- Pregunta ---
Pregunta: ¿De qué país posee la ciudadanía Fanny_Rodríguez?

",Guatemala
"Responde la pregunta basándote en el siguiente contexto. Mantén la respuesta breve.

--- Contexto ---
Ariel_Soto posee la ciudadanía del país Cuba
Tamara_Bunke posee la ciudadanía del país Austria

--- Pregunta ---
Pregunta: ¿De qué país posee la ciudadanía Tamara_Bunke?

",Austria
